No.	Name	Description	Block	Sub-Block	
3203	mindCH2	Mimimum dCH2	Atom-type E-state indices	E-State minimum	
3204	minssCH2	Mimimum ssCH2	Atom-type E-state indices	E-State minimum	
3205	mintCH	Mimimum tCH	Atom-type E-state indices	E-State minimum	
3206	mindsCH	Mimimum dsCH	Atom-type E-state indices	E-State minimum	
3207	minaaCH	Mimimum aaCH	Atom-type E-state indices	E-State minimum	
3208	minsssCH	Mimimum sssCH	Atom-type E-state indices	E-State minimum	
3209	minddC	Mimimum ddC	Atom-type E-state indices	E-State minimum	
3210	mintsC	Mimimum tsC	Atom-type E-state indices	E-State minimum	
3211	mindssC	Mimimum dssC	Atom-type E-state indices	E-State minimum	
3212	minaasC	Mimimum aasC	Atom-type E-state indices	E-State minimum	
3213	minaaaC	Mimimum aaaC	Atom-type E-state indices	E-State minimum	
3214	minssssC	Mimimum ssssC	Atom-type E-state indices	E-State minimum	
3215	minsNH2	Mimimum sNH2	Atom-type E-state indices	E-State minimum	
3216	minssNH	Mimimum ssNH	Atom-type E-state indices	E-State minimum	
3217	mindNH	Mimimum dNH	Atom-type E-state indices	E-State minimum	
3218	minsssN	Mimimum sssN	Atom-type E-state indices	E-State minimum	
3219	mindsN	Mimimum dsN	Atom-type E-state indices	E-State minimum	
3220	minaaN	Mimimum aaN	Atom-type E-state indices	E-State minimum	
3221	mintN	Mimimum tN	Atom-type E-state indices	E-State minimum	
3222	minsNH3+	Mimimum sNH3+	Atom-type E-state indices	E-State minimum	
3223	minssNH2+	Mimimum ssNH2+	Atom-type E-state indices	E-State minimum	
3224	mindNH2+	Mimimum dNH2+	Atom-type E-state indices	E-State minimum	
3225	minsssNH+	Mimimum sssNH+	Atom-type E-state indices	E-State minimum	
3226	minssssN+	Mimimum ssssN+	Atom-type E-state indices	E-State minimum	
3227	minddsN	Mimimum ddsN	Atom-type E-state indices	E-State minimum	
3228	minaadN	Mimimum aadN	Atom-type E-state indices	E-State minimum	
3229	minaasN	Mimimum aasN	Atom-type E-state indices	E-State minimum	
3230	minaaNH	Mimimum aaNH	Atom-type E-state indices	E-State minimum	
3231	minsOH	Mimimum sOH	Atom-type E-state indices	E-State minimum	
3232	mindO	Mimimum dO	Atom-type E-state indices	E-State minimum	
3233	minssO	Mimimum ssO	Atom-type E-state indices	E-State minimum	
3234	minaaO	Mimimum aaO	Atom-type E-state indices	E-State minimum	
3235	minsPH2	Mimimum sPH2	Atom-type E-state indices	E-State minimum	
3236	minssPH	Mimimum ssPH	Atom-type E-state indices	E-State minimum	
3237	minsssP	Mimimum sssP	Atom-type E-state indices	E-State minimum	
3238	mindsssP	Mimimum dsssP	Atom-type E-state indices	E-State minimum	
3239	minddsP	Mimimum ddsP	Atom-type E-state indices	E-State minimum	
3240	minsssssP	Mimimum sssssP	Atom-type E-state indices	E-State minimum	
3241	minsSH	Mimimum sSH	Atom-type E-state indices	E-State minimum	
3242	mindS	Mimimum dS	Atom-type E-state indices	E-State minimum	
3243	minssS	Mimimum ssS	Atom-type E-state indices	E-State minimum	
3244	minaaS	Mimimum aaS	Atom-type E-state indices	E-State minimum	
3245	mindssS	Mimimum dssS	Atom-type E-state indices	E-State minimum	
3246	minddssS	Mimimum ddssS	Atom-type E-state indices	E-State minimum	
3247	minssssssS	Mimimum ssssssS	Atom-type E-state indices	E-State minimum	
3248	minsF	Mimimum sF	Atom-type E-state indices	E-State minimum	
3249	minsCl	Mimimum sCl	Atom-type E-state indices	E-State minimum	
3250	minsBr	Mimimum sBr	Atom-type E-state indices	E-State minimum	
3251	minsI	Mimimum sI	Atom-type E-state indices	E-State minimum	
3252	minsLi	Mimimum sLi	Atom-type E-state indices	E-State minimum	
3253	minssBe	Mimimum ssBe	Atom-type E-state indices	E-State minimum	
3254	minssssBe-	Mimimum ssssBe-	Atom-type E-state indices	E-State minimum	
3255	minsBH2	Mimimum sBH2	Atom-type E-state indices	E-State minimum	
3256	minssBH	Mimimum ssBH	Atom-type E-state indices	E-State minimum	
3257	minsssB	Mimimum sssB	Atom-type E-state indices	E-State minimum	
3258	minssssB-	Mimimum ssssB-	Atom-type E-state indices	E-State minimum	
3259	minsGeH3	Mimimum sGeH3	Atom-type E-state indices	E-State minimum	
3260	minssGeH2	Mimimum ssGeH2	Atom-type E-state indices	E-State minimum	
3261	minsssGeH	Mimimum sssGeH	Atom-type E-state indices	E-State minimum	
3262	minssssGe	Mimimum ssssGe	Atom-type E-state indices	E-State minimum	
3263	minsAsH2	Mimimum sAsH2	Atom-type E-state indices	E-State minimum	
3264	minssAsH	Mimimum ssAsH	Atom-type E-state indices	E-State minimum	
3265	minsssAs	Mimimum sssAs	Atom-type E-state indices	E-State minimum	
3266	minsssssAs	Mimimum sssssAs	Atom-type E-state indices	E-State minimum	
3267	mindsssAs	Mimimum dsssAs	Atom-type E-state indices	E-State minimum	
3268	minddsAs	Mimimum ddsAs	Atom-type E-state indices	E-State minimum	
3269	minsSeH	Mimimum sSeH	Atom-type E-state indices	E-State minimum	
3270	mindSe	Mimimum dSe	Atom-type E-state indices	E-State minimum	
3271	minssSe	Mimimum ssSe	Atom-type E-state indices	E-State minimum	
3272	minaaSe	Mimimum aaSe	Atom-type E-state indices	E-State minimum	
3273	mindssSe	Mimimum dssSe	Atom-type E-state indices	E-State minimum	
3274	minssssssSe	Mimimum ssssssSe	Atom-type E-state indices	E-State minimum	
3275	minddssSe	Mimimum ddssSe	Atom-type E-state indices	E-State minimum	
3276	minsSnH3	Mimimum sSnH3	Atom-type E-state indices	E-State minimum	
3277	minssSnH2	Mimimum ssSnH2	Atom-type E-state indices	E-State minimum	
3278	minsssSnH	Mimimum sssSnH	Atom-type E-state indices	E-State minimum	
3279	minssssSn	Mimimum ssssSn	Atom-type E-state indices	E-State minimum	
3280	minsPbH3	Mimimum sPbH3	Atom-type E-state indices	E-State minimum	
3281	minssPbH2	Mimimum ssPbH2	Atom-type E-state indices	E-State minimum	
3282	minsssPbH	Mimimum sssPbH	Atom-type E-state indices	E-State minimum	
3283	minssssPb	Mimimum ssssPb	Atom-type E-state indices	E-State minimum	
3284	minsSiH3	Mimimum sSiH3	Atom-type E-state indices	E-State minimum	
3285	minssSiH2	Mimimum ssSiH2	Atom-type E-state indices	E-State minimum	
3286	minsssSiH	Mimimum sssSiH	Atom-type E-state indices	E-State minimum	
3287	minssssSi	Mimimum ssssSi	Atom-type E-state indices	E-State minimum	
3288	gmin	Mimimum atom E-state value in a molecule	Atom-type E-state indices	E-State minimum	
3289	MaxsCH3	Maximum sCH3	Atom-type E-state indices	E-State maximum	
3290	MaxdCH2	Maximum dCH2	Atom-type E-state indices	E-State maximum	
3291	MaxssCH2	Maximum ssCH2	Atom-type E-state indices	E-State maximum	
3292	MaxtCH	Maximum tCH	Atom-type E-state indices	E-State maximum	
3293	MaxdsCH	Maximum dsCH	Atom-type E-state indices	E-State maximum	
3294	MaxaaCH	Maximum aaCH	Atom-type E-state indices	E-State maximum	
3295	MaxsssCH	Maximum sssCH	Atom-type E-state indices	E-State maximum	
3296	MaxddC	Maximum ddC	Atom-type E-state indices	E-State maximum	
3297	MaxtsC	Maximum tsC	Atom-type E-state indices	E-State maximum	
3298	MaxdssC	Maximum dssC	Atom-type E-state indices	E-State maximum	
3299	MaxaasC	Maximum aasC	Atom-type E-state indices	E-State maximum	
3300	MaxaaaC	Maximum aaaC	Atom-type E-state indices	E-State maximum	
3301	MaxssssC	Maximum ssssC	Atom-type E-state indices	E-State maximum	
3302	MaxsNH2	Maximum sNH2	Atom-type E-state indices	E-State maximum	
3303	MaxssNH	Maximum ssNH	Atom-type E-state indices	E-State maximum	
3304	MaxdNH	Maximum dNH	Atom-type E-state indices	E-State maximum	
3305	MaxsssN	Maximum sssN	Atom-type E-state indices	E-State maximum	
3306	MaxdsN	Maximum dsN	Atom-type E-state indices	E-State maximum	
3307	MaxaaN	Maximum aaN	Atom-type E-state indices	E-State maximum	
3308	MaxtN	Maximum tN	Atom-type E-state indices	E-State maximum	
3309	MaxsNH3+	Maximum sNH3+	Atom-type E-state indices	E-State maximum	
3310	MaxssNH2+	Maximum ssNH2+	Atom-type E-state indices	E-State maximum	
3311	MaxdNH2+	Maximum dNH2+	Atom-type E-state indices	E-State maximum	
3312	MaxsssNH+	Maximum sssNH+	Atom-type E-state indices	E-State maximum	
3313	MaxssssN+	Maximum ssssN+	Atom-type E-state indices	E-State maximum	
3314	MaxddsN	Maximum ddsN	Atom-type E-state indices	E-State maximum	
3315	MaxaadN	Maximum aadN	Atom-type E-state indices	E-State maximum	
3316	MaxaasN	Maximum aasN	Atom-type E-state indices	E-State maximum	
3317	MaxaaNH	Maximum aaNH	Atom-type E-state indices	E-State maximum	
3318	MaxsOH	Maximum sOH	Atom-type E-state indices	E-State maximum	
3319	MaxdO	Maximum dO	Atom-type E-state indices	E-State maximum	
3320	MaxssO	Maximum ssO	Atom-type E-state indices	E-State maximum	
3321	MaxaaO	Maximum aaO	Atom-type E-state indices	E-State maximum	
3322	MaxsPH2	Maximum sPH2	Atom-type E-state indices	E-State maximum	
3323	MaxssPH	Maximum ssPH	Atom-type E-state indices	E-State maximum	
3324	MaxsssP	Maximum sssP	Atom-type E-state indices	E-State maximum	
3325	MaxdsssP	Maximum dsssP	Atom-type E-state indices	E-State maximum	
3326	MaxddsP	Maximum ddsP	Atom-type E-state indices	E-State maximum	
3327	MaxsssssP	Maximum sssssP	Atom-type E-state indices	E-State maximum	
3328	MaxsSH	Maximum sSH	Atom-type E-state indices	E-State maximum	
3329	MaxdS	Maximum dS	Atom-type E-state indices	E-State maximum	
3330	MaxssS	Maximum ssS	Atom-type E-state indices	E-State maximum	
3331	MaxaaS	Maximum aaS	Atom-type E-state indices	E-State maximum	
3332	MaxdssS	Maximum dssS	Atom-type E-state indices	E-State maximum	
3333	MaxddssS	Maximum ddssS	Atom-type E-state indices	E-State maximum	
3334	MaxssssssS	Maximum ssssssS	Atom-type E-state indices	E-State maximum	
3335	MaxsF	Maximum sF	Atom-type E-state indices	E-State maximum	
3336	MaxsCl	Maximum sCl	Atom-type E-state indices	E-State maximum	
3337	MaxsBr	Maximum sBr	Atom-type E-state indices	E-State maximum	
3338	MaxsI	Maximum sI	Atom-type E-state indices	E-State maximum	
3339	MaxsLi	Maximum sLi	Atom-type E-state indices	E-State maximum	
3340	MaxssBe	Maximum ssBe	Atom-type E-state indices	E-State maximum	
3341	MaxssssBe-	Maximum ssssBe-	Atom-type E-state indices	E-State maximum	
3342	MaxsBH2	Maximum sBH2	Atom-type E-state indices	E-State maximum	
3343	MaxssBH	Maximum ssBH	Atom-type E-state indices	E-State maximum	
3344	MaxsssB	Maximum sssB	Atom-type E-state indices	E-State maximum	
3345	MaxssssB-	Maximum ssssB-	Atom-type E-state indices	E-State maximum	
3346	MaxsGeH3	Maximum sGeH3	Atom-type E-state indices	E-State maximum	
3347	MaxssGeH2	Maximum ssGeH2	Atom-type E-state indices	E-State maximum	
3348	MaxsssGeH	Maximum sssGeH	Atom-type E-state indices	E-State maximum	
3349	MaxssssGe	Maximum ssssGe	Atom-type E-state indices	E-State maximum	
3350	MaxsAsH2	Maximum sAsH2	Atom-type E-state indices	E-State maximum	
3351	MaxssAsH	Maximum ssAsH	Atom-type E-state indices	E-State maximum	
3352	MaxsssAs	Maximum sssAs	Atom-type E-state indices	E-State maximum	
3353	MaxsssssAs	Maximum sssssAs	Atom-type E-state indices	E-State maximum	
3354	MaxdsssAs	Maximum dsssAs	Atom-type E-state indices	E-State maximum	
3355	MaxddsAs	Maximum ddsAs	Atom-type E-state indices	E-State maximum	
3356	MaxsSeH	Maximum sSeH	Atom-type E-state indices	E-State maximum	
3357	MaxdSe	Maximum dSe	Atom-type E-state indices	E-State maximum	
3358	MaxssSe	Maximum ssSe	Atom-type E-state indices	E-State maximum	
3359	MaxaaSe	Maximum aaSe	Atom-type E-state indices	E-State maximum	
3360	MaxdssSe	Maximum dssSe	Atom-type E-state indices	E-State maximum	
3361	MaxssssssSe	Maximum ssssssSe	Atom-type E-state indices	E-State maximum	
3362	MaxddssSe	Maximum ddssSe	Atom-type E-state indices	E-State maximum	
3363	MaxsSnH3	Maximum sSnH3	Atom-type E-state indices	E-State maximum	
3364	MaxssSnH2	Maximum ssSnH2	Atom-type E-state indices	E-State maximum	
3365	MaxsssSnH	Maximum sssSnH	Atom-type E-state indices	E-State maximum	
3366	MaxssssSn	Maximum ssssSn	Atom-type E-state indices	E-State maximum	
3367	MaxsPbH3	Maximum sPbH3	Atom-type E-state indices	E-State maximum	
3368	MaxssPbH2	Maximum ssPbH2	Atom-type E-state indices	E-State maximum	
3369	MaxsssPbH	Maximum sssPbH	Atom-type E-state indices	E-State maximum	
3370	MaxssssPb	Maximum ssssPb	Atom-type E-state indices	E-State maximum	
3371	MaxsSiH3	Maximum sSiH3	Atom-type E-state indices	E-State maximum	
3372	MaxssSiH2	Maximum ssSiH2	Atom-type E-state indices	E-State maximum	
3373	MaxsssSiH	Maximum sssSiH	Atom-type E-state indices	E-State maximum	
3374	MaxssssSi	Maximum ssssSi	Atom-type E-state indices	E-State maximum	
3375	gmax	Maximum atom E-state value in a molecule	Atom-type E-state indices	E-State maximum	
3376	CATS2D_00_DD	CATS2D Donor-Donor at lag 00 (number of H bond donor atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3377	CATS2D_01_DD	CATS2D Donor-Donor at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3378	CATS2D_02_DD	CATS2D Donor-Donor at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3379	CATS2D_03_DD	CATS2D Donor-Donor at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3380	CATS2D_04_DD	CATS2D Donor-Donor at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3381	CATS2D_05_DD	CATS2D Donor-Donor at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3382	CATS2D_06_DD	CATS2D Donor-Donor at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3383	CATS2D_07_DD	CATS2D Donor-Donor at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3384	CATS2D_08_DD	CATS2D Donor-Donor at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3385	CATS2D_09_DD	CATS2D Donor-Donor at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3386	CATS2D_00_DA	CATS2D Donor-Acceptor at lag 00 (number of donor-acceptor atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3387	CATS2D_01_DA	CATS2D Donor-Acceptor at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3388	CATS2D_02_DA	CATS2D Donor-Acceptor at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3389	CATS2D_03_DA	CATS2D Donor-Acceptor at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3390	CATS2D_04_DA	CATS2D Donor-Acceptor at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3391	CATS2D_05_DA	CATS2D Donor-Acceptor at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3392	CATS2D_06_DA	CATS2D Donor-Acceptor at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3393	CATS2D_07_DA	CATS2D Donor-Acceptor at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3394	CATS2D_08_DA	CATS2D Donor-Acceptor at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3395	CATS2D_09_DA	CATS2D Donor-Acceptor at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3396	CATS2D_00_DP	CATS2D Donor-Positive at lag 00 (number of donor-positive atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3397	CATS2D_01_DP	CATS2D Donor-Positive at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3398	CATS2D_02_DP	CATS2D Donor-Positive at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3399	CATS2D_03_DP	CATS2D Donor-Positive at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3400	CATS2D_04_DP	CATS2D Donor-Positive at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3401	CATS2D_05_DP	CATS2D Donor-Positive at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3402	CATS2D_06_DP	CATS2D Donor-Positive at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3403	CATS2D_07_DP	CATS2D Donor-Positive at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3404	CATS2D_08_DP	CATS2D Donor-Positive at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3405	CATS2D_09_DP	CATS2D Donor-Positive at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3406	CATS2D_00_DN	CATS2D Donor-Negative at lag 00 (number of donor-negative atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3407	CATS2D_01_DN	CATS2D Donor-Negative at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3408	CATS2D_02_DN	CATS2D Donor-Negative at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3409	CATS2D_03_DN	CATS2D Donor-Negative at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3410	CATS2D_04_DN	CATS2D Donor-Negative at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3411	CATS2D_05_DN	CATS2D Donor-Negative at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3412	CATS2D_06_DN	CATS2D Donor-Negative at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3413	CATS2D_07_DN	CATS2D Donor-Negative at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3414	CATS2D_08_DN	CATS2D Donor-Negative at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3415	CATS2D_09_DN	CATS2D Donor-Negative at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3416	CATS2D_00_DL	CATS2D Donor-Lipophilic at lag 00 (number of donor-lipohilic atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3417	CATS2D_01_DL	CATS2D Donor-Lipophilic at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3418	CATS2D_02_DL	CATS2D Donor-Lipophilic at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3419	CATS2D_03_DL	CATS2D Donor-Lipophilic at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3420	CATS2D_04_DL	CATS2D Donor-Lipophilic at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3421	CATS2D_05_DL	CATS2D Donor-Lipophilic at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3422	CATS2D_06_DL	CATS2D Donor-Lipophilic at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3423	CATS2D_07_DL	CATS2D Donor-Lipophilic at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3424	CATS2D_08_DL	CATS2D Donor-Lipophilic at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3425	CATS2D_09_DL	CATS2D Donor-Lipophilic at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3426	CATS2D_00_AA	CATS2D Acceptor-Acceptor at lag 00 (number of H bond acceptor atom)	Pharmacophore descriptors	CATS 2D descriptors	
3427	CATS2D_01_AA	CATS2D Acceptor-Acceptor at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3428	CATS2D_02_AA	CATS2D Acceptor-Acceptor at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3429	CATS2D_03_AA	CATS2D Acceptor-Acceptor at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3430	CATS2D_04_AA	CATS2D Acceptor-Acceptor at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3431	CATS2D_05_AA	CATS2D Acceptor-Acceptor at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3432	CATS2D_06_AA	CATS2D Acceptor-Acceptor at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3433	CATS2D_07_AA	CATS2D Acceptor-Acceptor at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3434	CATS2D_08_AA	CATS2D Acceptor-Acceptor at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3435	CATS2D_09_AA	CATS2D Acceptor-Acceptor at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3436	CATS2D_00_AP	CATS2D Acceptor-Positive at lag 00 (number of acceptor-positive atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3437	CATS2D_01_AP	CATS2D Acceptor-Positive at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3438	CATS2D_02_AP	CATS2D Acceptor-Positive at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3439	CATS2D_03_AP	CATS2D Acceptor-Positive at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3440	CATS2D_04_AP	CATS2D Acceptor-Positive at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3441	CATS2D_05_AP	CATS2D Acceptor-Positive at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3442	CATS2D_06_AP	CATS2D Acceptor-Positive at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3443	CATS2D_07_AP	CATS2D Acceptor-Positive at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3444	CATS2D_08_AP	CATS2D Acceptor-Positive at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3445	CATS2D_09_AP	CATS2D Acceptor-Positive at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3446	CATS2D_00_AN	CATS2D Acceptor-Negative at lag 00 (number of acceptor-negative atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3447	CATS2D_01_AN	CATS2D Acceptor-Negative at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3448	CATS2D_02_AN	CATS2D Acceptor-Negative at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3449	CATS2D_03_AN	CATS2D Acceptor-Negative at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3450	CATS2D_04_AN	CATS2D Acceptor-Negative at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3451	CATS2D_05_AN	CATS2D Acceptor-Negative at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3452	CATS2D_06_AN	CATS2D Acceptor-Negative at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3453	CATS2D_07_AN	CATS2D Acceptor-Negative at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3454	CATS2D_08_AN	CATS2D Acceptor-Negative at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3455	CATS2D_09_AN	CATS2D Acceptor-Negative at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3456	CATS2D_00_AL	CATS2D Acceptor-Lipophilic at lag 00 (number of acceptor-lipophilic atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3457	CATS2D_01_AL	CATS2D Acceptor-Lipophilic at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3458	CATS2D_02_AL	CATS2D Acceptor-Lipophilic at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3459	CATS2D_03_AL	CATS2D Acceptor-Lipophilic at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3460	CATS2D_04_AL	CATS2D Acceptor-Lipophilic at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3461	CATS2D_05_AL	CATS2D Acceptor-Lipophilic at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3462	CATS2D_06_AL	CATS2D Acceptor-Lipophilic at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3463	CATS2D_07_AL	CATS2D Acceptor-Lipophilic at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3464	CATS2D_08_AL	CATS2D Acceptor-Lipophilic at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3465	CATS2D_09_AL	CATS2D Acceptor-Lipophilic at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3466	CATS2D_00_PP	CATS2D Positive-Positive at lag 00 (number of positive atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3467	CATS2D_01_PP	CATS2D Positive-Positive at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3468	CATS2D_02_PP	CATS2D Positive-Positive at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3469	CATS2D_03_PP	CATS2D Positive-Positive at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3470	CATS2D_04_PP	CATS2D Positive-Positive at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3471	CATS2D_05_PP	CATS2D Positive-Positive at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3472	CATS2D_06_PP	CATS2D Positive-Positive at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3473	CATS2D_07_PP	CATS2D Positive-Positive at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3474	CATS2D_08_PP	CATS2D Positive-Positive at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3475	CATS2D_09_PP	CATS2D Positive-Positive at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3476	CATS2D_00_PN	CATS2D Positive-Negative at lag 00 (number of positive-negative atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3477	CATS2D_01_PN	CATS2D Positive-Negative at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3478	CATS2D_02_PN	CATS2D Positive-Negative at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3479	CATS2D_03_PN	CATS2D Positive-Negative at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3480	CATS2D_04_PN	CATS2D Positive-Negative at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3481	CATS2D_05_PN	CATS2D Positive-Negative at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3482	CATS2D_06_PN	CATS2D Positive-Negative at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3483	CATS2D_07_PN	CATS2D Positive-Negative at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3484	CATS2D_08_PN	CATS2D Positive-Negative at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3485	CATS2D_09_PN	CATS2D Positive-Negative at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3486	CATS2D_00_PL	CATS2D Positive-Lipophilic at lag 00 (number of positive-lipophilic atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3487	CATS2D_01_PL	CATS2D Positive-Lipophilic at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3488	CATS2D_02_PL	CATS2D Positive-Lipophilic at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3489	CATS2D_03_PL	CATS2D Positive-Lipophilic at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
3490	CATS2D_04_PL	CATS2D Positive-Lipophilic at lag 04	Pharmacophore descriptors	CATS 2D descriptors	
3491	CATS2D_05_PL	CATS2D Positive-Lipophilic at lag 05	Pharmacophore descriptors	CATS 2D descriptors	
3492	CATS2D_06_PL	CATS2D Positive-Lipophilic at lag 06	Pharmacophore descriptors	CATS 2D descriptors	
3493	CATS2D_07_PL	CATS2D Positive-Lipophilic at lag 07	Pharmacophore descriptors	CATS 2D descriptors	
3494	CATS2D_08_PL	CATS2D Positive-Lipophilic at lag 08	Pharmacophore descriptors	CATS 2D descriptors	
3495	CATS2D_09_PL	CATS2D Positive-Lipophilic at lag 09	Pharmacophore descriptors	CATS 2D descriptors	
3496	CATS2D_00_NN	CATS2D Negative-Negative at lag 00 (number of negative atoms)	Pharmacophore descriptors	CATS 2D descriptors	
3497	CATS2D_01_NN	CATS2D Negative-Negative at lag 01	Pharmacophore descriptors	CATS 2D descriptors	
3498	CATS2D_02_NN	CATS2D Negative-Negative at lag 02	Pharmacophore descriptors	CATS 2D descriptors	
3499	CATS2D_03_NN	CATS2D Negative-Negative at lag 03	Pharmacophore descriptors	CATS 2D descriptors	
