No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES20_Isol	WHALES30_Isol	WHALES40_Isol	WHALES50_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES70_IR	WHALES80_IR	WHALES90_IR	WHALES100_IR
175	Ceftazidime	-2.087	-1.561	-1.107	-0.947	-0.604	0.417	0.668	0.809	1.028	1.325	1.734	-0.303	-0.162	-0.087	-0.056	-0.046	0.036	0.046	0.059	0.075	0.098	0.144	-0.461	-0.16	-0.084	-0.061	-0.033	0.029	0.066	0.095	0.123	0.346
176	Moxalactam	-2.18	-1.617	-1.281	-1.061	-0.826	-0.642	-0.351	0.55	0.735	1.386	2.805	-0.229	-0.124	-0.078	-0.074	-0.066	-0.053	-0.019	0.048	0.075	0.097	0.139	-0.287	-0.172	-0.12	-0.087	-0.054	-0.037	0.031	0.072	0.164	0.297
177	Ceftriaxone	-2.126	-1.552	-1.234	-1.121	-0.822	-0.506	0.577	0.737	0.776	1.316	2.178	-0.18	-0.135	-0.109	-0.097	-0.087	-0.059	0.041	0.081	0.105	0.113	0.213	-0.229	-0.162	-0.117	-0.085	-0.073	-0.044	0.083	0.113	0.145	0.369
178	Cefuroxime	-2.008	-1.439	-1.191	-1.092	-0.791	-0.497	0.487	0.675	0.747	1.175	2.991	-0.237	-0.144	-0.122	-0.097	-0.084	-0.022	0.043	0.074	0.091	0.124	0.171	-0.286	-0.217	-0.129	-0.089	-0.054	-0.02	0.089	0.123	0.155	0.344
179	Cyclacillin	-3.801	-2.567	-2.098	-1.34	-1.077	-0.665	0.481	0.655	0.793	1.36	2.037	-0.232	-0.222	-0.21	-0.191	-0.147	-0.054	0.037	0.065	0.117	0.155	0.297	-0.63	-0.23	-0.192	-0.09	-0.058	-0.026	0.069	0.138	0.166	0.462
180	Ofloxacin	-4.599	-1.167	-0.974	-0.681	0.274	0.354	0.461	0.678	1.722	2.023	3.238	-0.36	-0.12	-0.075	-0.047	0.038	0.045	0.053	0.055	0.065	0.101	0.181	-0.31	-0.119	-0.082	-0.057	0.012	0.043	0.081	0.096	0.152	0.229
181	Ceftizoxime	-3.561	-1.793	-1.194	-0.99	-0.717	-0.553	0.535	0.671	0.872	1.317	3.886	-0.243	-0.169	-0.137	-0.102	-0.061	-0.017	0.057	0.085	0.135	0.141	0.296	-0.273	-0.201	-0.146	-0.073	-0.051	-0.015	0.1	0.114	0.206	0.585
182	SCE-796	-3.69	-1.934	-1.266	-0.924	-0.86	-0.32	0.618	0.708	0.876	1.066	1.384	-0.204	-0.147	-0.135	-0.075	-0.065	-0.008	0.068	0.095	0.119	0.139	0.211	-0.471	-0.132	-0.092	-0.044	-0.034	-0.008	0.106	0.141	0.164	0.736
183	Penicillin N	-2.798	-1.875	-1.367	-1.159	-0.945	-0.485	0.612	0.803	0.884	1.069	1.611	-0.314	-0.189	-0.15	-0.131	-0.112	-0.047	0.06	0.141	0.167	0.206	0.25	-0.511	-0.212	-0.166	-0.091	-0.071	-0.026	0.162	0.207	0.288	0.374
184	Ceftazidime	-2.189	-1.573	-1.046	-0.845	-0.64	0.398	0.593	0.965	1.121	1.326	1.583	-0.188	-0.124	-0.097	-0.078	-0.063	0.024	0.068	0.089	0.102	0.117	0.184	-0.342	-0.137	-0.093	-0.065	-0.047	0.033	0.077	0.108	0.191	0.447
185	Cefazolin	-3.823	-2.051	-1.742	-1.218	-0.878	-0.694	0.193	0.625	1.034	1.154	2.285	-0.298	-0.19	-0.16	-0.135	-0.105	-0.073	0.026	0.111	0.126	0.138	0.177	-0.367	-0.244	-0.155	-0.124	-0.084	-0.033	0.105	0.13	0.186	0.394
186	Ofloxacin	-2.283	-1.172	-1.037	-0.619	0.255	0.367	0.474	0.691	1.487	2.823	3.757	-0.352	-0.12	-0.047	-0.035	0.015	0.039	0.044	0.047	0.055	0.069	0.218	-0.318	-0.094	-0.067	-0.042	0.01	0.019	0.07	0.107	0.137	0.216
187	Cefotaxime	-1.981	-1.319	-1.078	-0.903	-0.591	0.361	0.593	0.667	0.92	1.208	2.295	-0.162	-0.109	-0.085	-0.07	-0.043	0.029	0.074	0.098	0.102	0.132	0.147	-0.497	-0.103	-0.076	-0.047	-0.037	0.019	0.086	0.163	0.201	0.413
188	Cefmetazole	-2.365	-1.884	-1.462	-1.124	-0.695	-0.394	0.44	0.696	1.144	1.9	2.288	-0.282	-0.155	-0.139	-0.115	-0.111	-0.087	0.076	0.108	0.138	0.163	0.199	-0.315	-0.193	-0.137	-0.094	-0.08	-0.051	0.09	0.126	0.218	0.346
189	Cefuroxime	-3.101	-1.621	-1.219	-0.994	-0.791	-0.364	0.419	0.628	0.791	1.046	2.899	-0.221	-0.15	-0.112	-0.094	-0.054	-0.03	0.045	0.072	0.097	0.145	0.164	-0.352	-0.187	-0.126	-0.071	-0.051	-0.016	0.082	0.116	0.224	0.505
190	Cefazolin	-3.133	-1.738	-1.279	-1.054	-0.878	-0.604	0.145	0.619	0.993	1.084	2.577	-0.269	-0.179	-0.136	-0.117	-0.106	-0.069	0.042	0.087	0.114	0.141	0.18	-0.403	-0.239	-0.153	-0.109	-0.062	-0.049	0.079	0.129	0.161	0.49
191	SCE-796	-2.134	-1.656	-1.231	-0.914	-0.704	-0.497	0.582	0.721	0.919	1.056	2.118	-0.23	-0.15	-0.109	-0.075	-0.045	-0.022	0.044	0.063	0.121	0.149	0.227	-0.234	-0.185	-0.135	-0.076	-0.032	-0.017	0.076	0.135	0.181	0.431
192	Cephalosporin C	-1.703	-1.224	-1.103	-0.992	-0.949	0.334	0.682	0.892	0.935	1.127	1.394	-0.179	-0.146	-0.125	-0.095	-0.052	0.024	0.059	0.093	0.109	0.124	0.186	-0.347	-0.132	-0.109	-0.084	-0.046	0.028	0.1	0.109	0.166	0.557
193	Ceftriaxone	-2.558	-1.857	-1.198	-0.956	-0.882	-0.545	0.37	0.696	0.901	1.369	2.254	-0.279	-0.147	-0.112	-0.077	-0.057	-0.042	0.05	0.062	0.077	0.133	0.194	-0.363	-0.163	-0.12	-0.075	-0.054	-0.023	0.064	0.101	0.193	0.335
194	Nocardicin B	-2.67	-1.567	-1.17	-1.042	-0.904	-0.638	-0.295	0.472	0.771	0.88	1.651	-0.185	-0.146	-0.083	-0.062	-0.027	-0.022	-0.02	0.028	0.061	0.068	0.148	-0.467	-0.159	-0.104	-0.071	-0.026	-0.019	0.036	0.069	0.176	0.212
195	Ceftriaxone	-2.132	-1.414	-1.153	-1.061	-0.894	-0.695	0.709	0.742	0.934	1.21	2.455	-0.235	-0.136	-0.118	-0.079	-0.068	-0.044	0.054	0.07	0.086	0.096	0.142	-0.311	-0.138	-0.105	-0.079	-0.062	-0.036	0.065	0.097	0.125	0.2
196	Aztreonam	-2.579	-1.617	-1.188	-0.952	-0.798	-0.65	-0.301	0.566	0.781	0.932	1.498	-0.29	-0.194	-0.134	-0.114	-0.091	-0.064	-0.027	0.058	0.086	0.114	0.197	-0.348	-0.18	-0.141	-0.128	-0.09	-0.054	0.06	0.118	0.172	0.337
197	Imipenem	-2.275	-1.478	-1.12	-1.029	-0.435	0.248	0.395	0.514	0.638	0.973	1.337	-0.282	-0.19	-0.152	-0.089	-0.051	0.051	0.1	0.108	0.123	0.133	0.174	-0.41	-0.207	-0.147	-0.072	-0.036	0.1	0.182	0.201	0.245	0.46
198	Penicillin N	-3.12	-1.979	-1.189	-0.993	-0.796	-0.574	0.617	0.738	0.917	1.02	1.549	-0.39	-0.216	-0.182	-0.132	-0.072	-0.041	0.055	0.096	0.116	0.129	0.193	-0.597	-0.221	-0.171	-0.11	-0.047	-0.024	0.074	0.135	0.177	0.307
199	Ceftriaxone	-2.097	-1.603	-1.141	-1.096	-0.889	-0.523	0.537	0.727	0.868	1.24	2.54	-0.191	-0.119	-0.086	-0.066	-0.044	-0.019	0.02	0.04	0.067	0.105	0.147	-0.337	-0.12	-0.092	-0.067	-0.031	-0.015	0.035	0.084	0.138	0.284
200	Cephaloglycin	-2.527	-1.859	-1.376	-1.079	-1.01	-0.632	0.414	0.59	0.699	1.377	3.365	-0.24	-0.193	-0.156	-0.13	-0.112	-0.068	0.056	0.079	0.102	0.154	0.277	-0.283	-0.167	-0.121	-0.095	-0.079	-0.067	0.072	0.158	0.199	0.437
201	LY097964	-2.707	-2.08	-1.247	-1.079	-0.76	-0.418	0.452	0.652	0.803	1.325	3.165	-0.25	-0.172	-0.134	-0.114	-0.051	-0.042	0.074	0.112	0.137	0.167	0.312	-0.554	-0.255	-0.102	-0.064	-0.043	-0.024	0.102	0.133	0.211	0.545
202	Cefacetrile	-2.364	-1.12	-1.018	-0.786	-0.36	0.603	0.718	1.127	1.255	1.735	3.24	-0.279	-0.215	-0.171	-0.138	-0.107	0.106	0.114	0.149	0.201	0.259	0.312	-0.609	-0.262	-0.206	-0.106	-0.065	0.078	0.136	0.168	0.198	0.887
203	Ampicillin	-4.201	-3.247	-2.104	-1.762	-1.165	-0.947	-0.589	0.357	0.64	0.797	1.622	-0.357	-0.227	-0.198	-0.177	-0.15	-0.13	-0.113	0.079	0.125	0.189	0.33	-0.331	-0.239	-0.195	-0.134	-0.093	-0.058	0.082	0.161	0.269	0.994
204	Ceftriaxone	-1.953	-1.468	-1.093	-1.044	-0.871	-0.647	0.684	0.748	0.82	1.245	2.329	-0.217	-0.131	-0.097	-0.089	-0.066	-0.042	0.053	0.069	0.087	0.102	0.182	-0.259	-0.148	-0.108	-0.073	-0.055	-0.04	0.067	0.083	0.131	0.266
205	Cyclacillin	-3.991	-2.386	-2.343	-1.558	-1.102	-0.47	0.312	0.576	0.738	1.215	2.202	-0.323	-0.281	-0.235	-0.223	-0.161	-0.095	0.054	0.147	0.199	0.233	0.305	-0.467	-0.205	-0.174	-0.137	-0.102	-0.061	0.133	0.223	0.337	1.164
206	Cefoperazone	-2.423	-1.886	-1.312	-0.921	-0.78	-0.658	0.291	0.662	0.951	1.4	2.021	-0.148	-0.111	-0.079	-0.07	-0.045	-0.037	0.02	0.049	0.062	0.089	0.135	-0.534	-0.14	-0.105	-0.056	-0.039	-0.019	0.04	0.085	0.105	0.185
207	Cefazolin	-3.616	-1.812	-1.441	-1.015	-0.88	-0.664	0.159	0.564	0.938	1.18	2.623	-0.278	-0.23	-0.175	-0.142	-0.117	-0.075	0.039	0.096	0.136	0.163	0.267	-0.271	-0.237	-0.202	-0.153	-0.09	-0.04	0.079	0.145	0.279	0.47
208	Cefacetrile	-2.316	-1.667	-1.067	-0.721	-0.334	0.358	0.703	0.891	1.175	1.603	2.443	-0.254	-0.172	-0.128	-0.118	-0.092	0.091	0.098	0.145	0.185	0.203	0.276	-0.456	-0.221	-0.132	-0.086	-0.052	0.057	0.148	0.188	0.257	0.553
209	Cephalosporin C	-1.837	-1.3	-1.114	-1	-0.926	0.313	0.656	0.828	0.942	1.168	1.415	-0.247	-0.162	-0.132	-0.102	-0.073	0.071	0.109	0.117	0.124	0.149	0.29	-0.418	-0.161	-0.123	-0.093	-0.066	0.065	0.123	0.201	0.26	0.456
210	SCE-796	-3.624	-1.834	-1.504	-1.03	-0.863	-0.295	0.636	0.755	0.832	1.017	1.211	-0.236	-0.185	-0.143	-0.112	-0.069	-0.013	0.081	0.09	0.106	0.127	0.205	-0.693	-0.145	-0.1	-0.084	-0.046	-0.015	0.104	0.129	0.171	0.684
211	Ceftizoxime	-3.026	-1.566	-1.182	-0.909	-0.656	-0.548	0.533	0.666	0.892	1.204	2.496	-0.24	-0.126	-0.091	-0.083	-0.067	-0.023	0.037	0.056	0.097	0.133	0.191	-0.398	-0.199	-0.099	-0.069	-0.042	-0.02	0.051	0.109	0.194	0.461
212	Cefotaxime	-1.839	-1.251	-1.215	-0.874	-0.454	0.394	0.495	0.647	0.832	1.192	2.953	-0.215	-0.145	-0.1	-0.076	-0.047	0.029	0.055	0.062	0.081	0.105	0.16	-0.434	-0.151	-0.106	-0.079	-0.042	0.015	0.086	0.11	0.163	0.402
213	Ofloxacin	-2.409	-1.293	-0.863	-0.633	0.248	0.367	0.445	0.691	1.526	2.83	3.813	-0.214	-0.088	-0.047	-0.037	0.015	0.038	0.045	0.051	0.055	0.066	0.129	-0.248	-0.105	-0.06	-0.031	0.01	0.017	0.07	0.092	0.133	0.272
214	Cefamandole	-3.299	-2.101	-1.669	-1.21	-0.955	-0.706	-0.378	0.443	0.6	0.834	3.095	-0.231	-0.188	-0.124	-0.103	-0.077	-0.061	-0.052	0.067	0.085	0.114	0.182	-0.46	-0.18	-0.14	-0.102	-0.081	-0.049	0.062	0.103	0.179	0.303
215	Cefazolin	-3.255	-2.261	-1.555	-1.143	-0.794	-0.576	0.183	0.554	0.752	1.108	2.231	-0.175	-0.143	-0.102	-0.074	-0.07	-0.024	0.011	0.066	0.106	0.122	0.13	-0.311	-0.195	-0.108	-0.068	-0.047	-0.017	0.052	0.117	0.209	0.364
216	Imipenem	-2.042	-1.817	-1.306	-0.946	-0.41	0.388	0.547	0.731	1.137	1.241	2.365	-0.352	-0.141	-0.098	-0.086	-0.06	0.047	0.072	0.125	0.156	0.165	0.22	-0.353	-0.218	-0.108	-0.051	-0.044	0.057	0.132	0.141	0.178	0.461
217	LY097964	-3.049	-1.905	-1.316	-1.11	-0.816	-0.499	0.511	0.576	0.726	1.276	2.407	-0.282	-0.195	-0.132	-0.087	-0.066	-0.045	0.07	0.08	0.143	0.211	0.294	-0.37	-0.174	-0.148	-0.076	-0.059	-0.023	0.136	0.161	0.209	0.575
218	Aztreonam	-3.215	-1.659	-1.32	-1.045	-0.904	-0.647	-0.289	0.436	0.861	1.167	1.934	-0.321	-0.239	-0.186	-0.127	-0.069	-0.056	-0.02	0.054	0.086	0.115	0.192	-0.296	-0.23	-0.176	-0.1	-0.065	-0.048	0.056	0.081	0.209	0.424
219	Cephalothin	-4.003	-2.557	-1.231	-1.059	-0.858	-0.042	0.64	0.73	0.896	1.431	2.135	-0.325	-0.266	-0.21	-0.166	-0.124	-0.009	0.092	0.105	0.118	0.145	0.229	-0.273	-0.22	-0.169	-0.112	-0.063	0.002	0.121	0.141	0.174	0.317
220	Cefazolin	-4.126	-1.557	-1.312	-1.179	-1.03	-0.491	0.155	0.59	1.039	1.258	2.326	-0.23	-0.174	-0.15	-0.131	-0.112	-0.095	0.045	0.095	0.109	0.123	0.235	-0.463	-0.221	-0.157	-0.106	-0.074	-0.06	0.071	0.095	0.236	0.49
221	Aztreonam	-2.303	-1.759	-1.281	-0.91	-0.836	-0.586	-0.204	0.526	0.636	0.976	1.571	-0.254	-0.165	-0.137	-0.109	-0.091	-0.08	-0.027	0.067	0.1	0.127	0.197	-0.314	-0.198	-0.136	-0.117	-0.092	-0.065	0.078	0.161	0.186	0.252
222	Cefacetrile	-2.753	-1.205	-1.008	-0.771	-0.459	0.351	0.656	0.945	1.486	1.679	3.2	-0.288	-0.208	-0.149	-0.105	-0.061	0.055	0.082	0.097	0.143	0.194	0.255	-0.339	-0.201	-0.169	-0.133	-0.029	0.055	0.074	0.101	0.246	0.569
223	Ofloxacin	-2.497	-1.341	-1.064	-0.636	0.274	0.402	0.565	0.721	1.43	1.66	2.76	-0.41	-0.111	-0.056	-0.044	0.02	0.039	0.054	0.06	0.065	0.072	0.114	-0.3	-0.097	-0.064	-0.034	0.011	0.027	0.077	0.097	0.174	0.247
224	Cyclacillin	-3.463	-2.3	-1.997	-1.424	-1.075	-0.669	0.478	0.655	0.781	1.264	1.749	-0.316	-0.231	-0.194	-0.183	-0.151	-0.056	0.032	0.067	0.121	0.159	0.288	-0.63	-0.263	-0.227	-0.088	-0.059	-0.032	0.073	0.144	0.182	0.428
225	Cefamandole	-2.465	-1.894	-1.637	-1.288	-1.013	-0.777	-0.436	0.347	0.621	1.014	2.346	-0.352	-0.193	-0.145	-0.119	-0.075	-0.066	-0.048	0.065	0.091	0.123	0.191	-0.274	-0.203	-0.16	-0.097	-0.077	-0.055	0.06	0.09	0.203	0.394
226	LY097964	-3.006	-1.937	-1.25	-1.063	-0.825	-0.556	0.505	0.613	0.737	1.168	3.33	-0.234	-0.207	-0.118	-0.104	-0.07	-0.049	0.065	0.105	0.142	0.201	0.276	-0.303	-0.194	-0.139	-0.076	-0.057	-0.024	0.126	0.151	0.213	0.547
227	Sulbenicillin	-2.789	-2.459	-1.835	-1.532	-1.12	-1.017	-0.488	0.335	0.671	0.83	1.434	-0.292	-0.22	-0.174	-0.156	-0.139	-0.127	-0.082	0.101	0.126	0.173	0.25	-0.63	-0.247	-0.139	-0.125	-0.094	-0.071	0.088	0.162	0.248	0.625
228	Ceftizoxime	-3.057	-1.647	-1.125	-0.901	-0.698	-0.409	0.513	0.716	0.982	1.211	2.835	-0.229	-0.198	-0.147	-0.124	-0.059	-0.021	0.058	0.086	0.125	0.156	0.243	-0.471	-0.238	-0.192	-0.067	-0.042	-0.019	0.09	0.115	0.213	0.425
229	Cefoperazone	-3.135	-1.599	-1.37	-1.087	-0.859	-0.535	0.279	0.573	1.053	1.437	2.091	-0.165	-0.106	-0.086	-0.069	-0.058	-0.038	0.02	0.057	0.08	0.094	0.132	-0.527	-0.18	-0.09	-0.056	-0.036	-0.021	0.047	0.082	0.151	0.244
230	Ceftizoxime	-2.655	-1.542	-1.187	-0.903	-0.667	-0.581	0.533	0.66	0.958	1.186	2.211	-0.204	-0.142	-0.101	-0.083	-0.073	-0.018	0.034	0.084	0.13	0.139	0.167	-0.299	-0.212	-0.113	-0.087	-0.041	-0.014	0.069	0.105	0.234	0.303
231	Ceftazidime	-3.555	-1.77	-1.14	-0.909	-0.639	0.445	0.633	0.887	1.102	1.436	2.163	-0.257	-0.156	-0.102	-0.078	-0.043	0.02	0.045	0.067	0.087	0.127	0.209	-0.389	-0.193	-0.099	-0.056	-0.026	0.011	0.057	0.113	0.159	0.314
232	Aztreonam	-2.563	-2.04	-1.113	-0.964	-0.861	-0.534	-0.249	0.512	0.64	0.945	1.392	-0.299	-0.2	-0.15	-0.108	-0.081	-0.062	-0.018	0.06	0.099	0.133	0.229	-0.309	-0.169	-0.132	-0.12	-0.097	-0.064	0.077	0.13	0.198	0.452
233	Cephalexin	-3.658	-2.857	-2.301	-1.539	-1.153	-0.979	-0.625	0.503	0.68	0.812	3.071	-0.352	-0.214	-0.202	-0.181	-0.165	-0.118	-0.095	0.046	0.122	0.148	0.293	-0.386	-0.266	-0.198	-0.137	-0.095	-0.058	0.038	0.158	0.206	0.52
234	Aztreonam	-2.521	-1.701	-1.322	-0.933	-0.73	-0.559	-0.288	0.545	0.74	0.902	1.5	-0.393	-0.148	-0.105	-0.086	-0.068	-0.064	-0.021	0.054	0.071	0.116	0.167	-0.56	-0.146	-0.122	-0.101	-0.069	-0.053	0.07	0.105	0.175	0.278
235	Cephaloridine	-3.815	-2.109	-1.585	-0.937	-0.787	0.437	0.652	0.861	1.166	1.371	2.343	-0.347	-0.267	-0.233	-0.148	-0.112	0.027	0.091	0.161	0.185	0.232	0.296	-0.643	-0.201	-0.118	-0.091	-0.074	0.035	0.121	0.189	0.274	0.492
236	Cyclacillin	-5.223	-2.95	-2.493	-1.392	-1	-0.498	0.337	0.555	0.772	1.351	2.551	-0.372	-0.277	-0.233	-0.195	-0.158	-0.113	0.058	0.175	0.224	0.298	0.372	-0.506	-0.178	-0.144	-0.106	-0.077	-0.063	0.15	0.24	0.321	1.102
237	Ceftriaxone	-2.174	-1.52	-1.285	-0.97	-0.828	-0.56	0.561	0.742	0.924	1.216	2.503	-0.239	-0.184	-0.131	-0.102	-0.09	-0.076	0.056	0.077	0.107	0.142	0.168	-0.469	-0.189	-0.145	-0.087	-0.075	-0.04	0.09	0.114	0.184	0.211
238	Imipenem	-2.771	-1.775	-1.337	-0.832	-0.566	0.359	0.563	0.648	0.745	1.08	2.568	-0.287	-0.113	-0.081	-0.047	-0.035	0.036	0.072	0.105	0.151	0.19	0.249	-0.149	-0.095	-0.077	-0.046	-0.031	0.053	0.124	0.177	0.262	0.733
239	Cephalosporin C	-2.111	-1.45	-1.235	-0.921	-0.678	0.428	0.617	0.821	1.042	1.288	1.607	-0.175	-0.147	-0.092	-0.065	-0.042	0.021	0.064	0.088	0.095	0.15	0.232	-0.285	-0.133	-0.079	-0.057	-0.04	0.013	0.105	0.142	0.178	0.215
240	Ceftriaxone	-2.361	-1.379	-1.189	-1.061	-0.881	-0.634	0.618	0.714	0.792	1.079	2.451	-0.179	-0.141	-0.106	-0.077	-0.067	-0.04	0.04	0.066	0.082	0.097	0.147	-0.405	-0.15	-0.106	-0.081	-0.05	-0.03	0.069	0.114	0.131	0.219
241	Cephaloridine	-3.327	-2.1	-1.752	-0.938	-0.743	0.477	0.672	0.811	1.197	1.452	2.582	-0.341	-0.298	-0.224	-0.133	-0.11	0.045	0.091	0.16	0.21	0.251	0.273	-0.741	-0.272	-0.098	-0.089	-0.068	0.041	0.131	0.176	0.314	0.419
242	Imipenem	-2.449	-1.75	-1.332	-0.837	-0.326	0.27	0.557	0.64	0.965	1.086	1.293	-0.323	-0.215	-0.168	-0.09	-0.078	0.076	0.099	0.115	0.133	0.142	0.158	-0.295	-0.217	-0.163	-0.118	-0.058	0.068	0.157	0.212	0.258	0.399
243	LY097964	-3.114	-1.98	-1.206	-0.925	-0.798	-0.578	0.471	0.705	0.782	1.317	3.072	-0.252	-0.164	-0.136	-0.1	-0.058	-0.028	0.026	0.089	0.114	0.16	0.266	-0.315	-0.223	-0.161	-0.058	-0.039	-0.016	0.096	0.119	0.217	0.565
244	Cefmetazole	-2.405	-1.785	-1.554	-1.271	-1.082	-0.387	0.46	0.73	1.221	1.763	2.383	-0.263	-0.201	-0.178	-0.14	-0.125	-0.08	0.069	0.128	0.164	0.201	0.293	-0.468	-0.17	-0.127	-0.1	-0.082	-0.055	0.089	0.153	0.224	0.685
245	Aztreonam	-2.257	-1.344	-1.171	-1.063	-0.725	-0.662	-0.29	0.657	0.766	0.9	1.424	-0.265	-0.126	-0.106	-0.104	-0.094	-0.083	-0.041	0.07	0.085	0.115	0.17	-0.379	-0.157	-0.137	-0.096	-0.079	-0.072	0.082	0.118	0.157	0.255
246	Ceftriaxone	-2.062	-1.413	-1.166	-1.082	-0.958	-0.707	0.626	0.739	0.922	1.185	2.427	-0.237	-0.121	-0.096	-0.08	-0.055	-0.027	0.038	0.061	0.08	0.099	0.143	-0.313	-0.112	-0.088	-0.071	-0.052	-0.025	0.059	0.073	0.135	0.191
247	Cephaloglycin	-2.821	-2.118	-1.597	-1.216	-1.007	-0.673	0.371	0.566	0.795	1.142	3.217	-0.254	-0.212	-0.178	-0.124	-0.119	-0.107	0.032	0.048	0.122	0.163	0.241	-0.386	-0.235	-0.143	-0.095	-0.079	-0.063	0.062	0.14	0.219	0.565
248	Ofloxacin	-2.185	-0.958	-0.786	-0.606	0.247	0.333	0.426	0.622	1.694	3.345	5.749	-0.157	-0.092	-0.061	-0.045	0.024	0.038	0.048	0.053	0.13	0.198	0.327	-0.144	-0.097	-0.079	-0.06	0.012	0.042	0.09	0.106	0.138	0.204
249	SCE-796	-2.373	-1.763	-1.211	-0.875	-0.682	-0.477	0.595	0.743	0.923	0.986	1.444	-0.219	-0.162	-0.084	-0.068	-0.053	-0.015	0.048	0.09	0.108	0.133	0.177	-0.237	-0.175	-0.104	-0.056	-0.043	-0.011	0.089	0.127	0.139	0.366
250	Cefamandole	-2.192	-1.96	-1.512	-1.349	-1.143	-0.956	-0.44	0.447	0.693	1.006	2.979	-0.241	-0.22	-0.167	-0.14	-0.128	-0.105	-0.095	0.12	0.139	0.16	0.226	-0.711	-0.197	-0.127	-0.113	-0.085	-0.077	0.056	0.184	0.237	0.593
251	Imipenem	-1.985	-1.906	-1.275	-1.009	-0.416	0.384	0.543	0.72	1.078	1.197	2.223	-0.34	-0.184	-0.104	-0.085	-0.065	0.049	0.078	0.128	0.151	0.167	0.411	-0.34	-0.173	-0.138	-0.067	-0.047	0.065	0.139	0.15	0.346	0.465
252	Ceftizoxime	-2.531	-1.735	-1.625	-1.177	-0.754	-0.271	0.556	0.643	0.709	1.566	3.511	-0.253	-0.167	-0.146	-0.129	-0.119	-0.029	0.101	0.15	0.169	0.176	0.203	-0.933	-0.221	-0.092	-0.07	-0.067	-0.034	0.139	0.238	0.283	0.495
253	Cefazolin	-3.093	-2.448	-1.519	-1.235	-0.867	-0.736	0.203	0.596	0.966	1.088	2.076	-0.294	-0.206	-0.158	-0.111	-0.089	-0.074	0.026	0.096	0.111	0.132	0.227	-0.38	-0.214	-0.162	-0.114	-0.063	-0.031	0.101	0.121	0.197	0.469
254	Aztreonam	-2.485	-1.992	-1.042	-0.873	-0.739	-0.558	-0.299	0.548	0.698	0.885	1.516	-0.284	-0.192	-0.14	-0.111	-0.093	-0.068	-0.025	0.06	0.093	0.124	0.2	-0.371	-0.188	-0.145	-0.133	-0.094	-0.057	0.065	0.136	0.219	0.317
255	Ceftriaxone	-2.256	-1.501	-1.171	-1.069	-0.959	-0.653	0.589	0.763	0.877	1.198	3.002	-0.219	-0.128	-0.105	-0.09	-0.073	-0.028	0.038	0.052	0.092	0.106	0.181	-0.589	-0.133	-0.092	-0.076	-0.057	-0.031	0.062	0.107	0.149	0.252
256	Ofloxacin	-7.067	-1.055	-0.894	-0.626	0.254	0.341	0.481	0.627	1.399	2.868	3.59	-0.319	-0.099	-0.056	-0.039	0.021	0.042	0.052	0.059	0.074	0.103	0.147	-0.284	-0.092	-0.074	-0.038	0.015	0.03	0.073	0.094	0.161	0.291
257	BL-S217	-1.857	-1.346	-0.886	-0.819	0.431	0.625	0.765	1.211	1.3	1.678	2.983	-0.362	-0.184	-0.119	-0.067	0.05	0.064	0.075	0.08	0.112	0.158	0.329	-0.41	-0.192	-0.102	-0.066	0.031	0.044	0.113	0.149	0.173	0.365
258	LY097964	-3.343	-1.851	-1.254	-1.027	-0.859	-0.599	0.541	0.599	0.922	1.176	2.958	-0.252	-0.179	-0.131	-0.109	-0.074	-0.042	0.052	0.1	0.132	0.151	0.287	-0.294	-0.201	-0.139	-0.076	-0.056	-0.026	0.09	0.125	0.215	0.6
259	Cefacetrile	-3.165	-1.151	-1.092	-0.842	-0.44	0.537	0.692	0.972	1.089	1.271	1.942	-0.209	-0.173	-0.153	-0.141	-0.111	0.047	0.103	0.13	0.144	0.182	0.243	-0.517	-0.2	-0.141	-0.113	-0.048	0.038	0.111	0.15	0.239	0.935
260	Ceftriaxone	-2.057	-1.552	-1.248	-1.08	-0.734	-0.525	0.645	0.734	0.772	1.308	2.361	-0.191	-0.128	-0.1	-0.088	-0.076	-0.047	0.036	0.069	0.087	0.108	0.199	-0.265	-0.161	-0.105	-0.081	-0.063	-0.03	0.056	0.115	0.145	0.307
261	LY097964	-2.303	-1.58	-1.359	-1.254	-1.04	-0.341	0.444	0.631	0.663	1.495	2.535	-0.285	-0.177	-0.143	-0.12	-0.077	-0.049	0.093	0.117	0.141	0.168	0.188	-0.878	-0.223	-0.1	-0.079	-0.057	-0.027	0.134	0.196	0.289	0.424
262	Nocardicin B	-2.114	-1.341	-1.253	-1.006	-0.771	-0.609	-0.361	0.355	0.684	0.894	1.687	-0.256	-0.143	-0.083	-0.071	-0.065	-0.048	-0.032	0.05	0.071	0.096	0.119	-0.488	-0.205	-0.111	-0.076	-0.061	-0.037	0.046	0.087	0.194	0.41
