No.	NAME	CATS2D_02_DD	CATS2D_03_DD	CATS2D_04_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_09_DD	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_06_DP	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_09_DN	CATS2D_02_DL	CATS2D_03_DL	CATS2D_04_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_02_AA	CATS2D_03_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_08_AA	CATS2D_09_AA	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_02_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_02_AL	CATS2D_03_AL	CATS2D_04_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PN	CATS2D_05_PN	CATS2D_09_PN	CATS2D_03_PL	CATS2D_04_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_02_NL	CATS2D_03_NL	CATS2D_04_NL	CATS2D_05_NL	CATS2D_06_NL	CATS2D_07_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_00_LL	CATS2D_01_LL	CATS2D_03_LL	CATS2D_04_LL	CATS2D_05_LL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_08_LL	CATS2D_09_LL	SHED_DA	SHED_DP	SHED_DN	SHED_DL	SHED_AA	SHED_AP	SHED_AN	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NL	SHED_LL
282	Cephalosporin C	0	0	0	0	0	0	1	2	0	0	2	3	0	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	0	0	4	2	1	6	2	4	3	1	0	2	0	0	1	0	0	2	2	1	0	2	0	2	1	0	4	5	7	7	3	3	2	3	1	1	0	0	1	1	0	0	0	0	1	0	2	1	2	0	0	1	1	5	2	0	0	1	1	2	1	1	4.58575641234582	1	2	3.789291416276	11.2816532747474	5.66964472452693	8.31989177611433	10.652694092727	0	2	5	6.59753955386447	6.59753955386447
283	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
284	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
285	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
286	Aztreonam	0	0	0	1	0	0	2	3	2	4	2	2	0	4	1	0	1	0	1	0	1	1	1	1	0	1	2	0	2	1	8	4	8	2	2	11	3	6	1	0	0	1	2	0	0	4	4	1	2	0	0	3	1	2	4	6	5	3	5	2	4	4	1	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	2	1	2	7.65424472120392	1	4	5.65685424949238	9.20658065168762	4.34115281760506	7.15908664099259	9.60576646174869	0	2	2.82842712474619	4.75682846001088	3.77976314968462
287	Ofloxacin	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	6	1	1	2	2	0	0	1	0	0	1	1	0	1	1	0	2	0	0	1	1	0	7	5	4	3	5	0	0	0	1	0	0	0	0	0	0	1	1	0	2	1	0	1	1	1	0	0	0	4	1	1	2	1	0	0	0	0	4.7622031559046	0	1	2.82842712474619	5.5516075873073	4.7622031559046	3.789291416276	4.81396937212112	0	1	2.82842712474619	4	4.7622031559046
288	Cefacetrile	0	0	0	0	0	0	1	2	1	0	2	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	3	2	2	6	2	4	3	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	7	2	4	5	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	4	0	0	1	1	1	1	0	0	5.65685424949238	0	1	4	9.65276610622686	0	5.74234749205346	8.7210365074784	0	0	0	4	6
289	Cephaloridine	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	2	2	0	0	0	2	2	2	1	6	1	0	2	1	0	0	1	2	1	0	0	1	1	1	0	2	0	0	1	0	6	3	5	6	2	10	8	2	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	2	2	0	9	3	1	2	2	2	4	1	2	3.77976314968462	1	1	5.66964472452693	5.5516075873073	3.789291416276	3.789291416276	9.65523215036919	0	1	5.34941802342378	5.66964472452693	12.6632276430891
290	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
291	Ceftizoxime	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	2	3	5	1	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	6.51073099252255	1	2	4.7622031559046	9.24687625873865	4.75682846001088	5.74234749205346	8.33248162338902	0	1	3	3	3
292	Aztreonam	0	0	0	1	0	0	2	3	2	4	2	2	0	4	1	0	1	0	1	0	1	1	1	1	0	1	2	0	2	1	8	4	8	2	2	11	3	6	1	0	0	1	2	0	0	4	4	1	2	0	0	3	1	2	4	6	5	3	5	2	4	4	1	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	2	1	2	7.65424472120392	1	4	5.65685424949238	9.20658065168762	4.34115281760506	7.15908664099259	9.60576646174869	0	2	2.82842712474619	4.75682846001088	3.77976314968462
293	Ceftizoxime	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	2	3	5	1	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	6.51073099252255	1	2	4.7622031559046	9.24687625873865	4.75682846001088	5.74234749205346	8.33248162338902	0	1	3	3	3
294	Ceftriaxone	0	0	0	1	0	0	2	3	2	1	4	0	0	4	1	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	5	9	4	4	4	9	7	6	1	0	0	1	2	0	0	2	2	3	0	1	0	3	3	3	5	3	7	9	5	5	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	11.2240800237043	1	4	6.72717132202972	14.5107483063177	8.48582603511376	9.95884005986143	11.4134148125909	0	2	4	4.45565973351251	4.7622031559046
295	Nocardicin B	0	0	1	0	0	1	1	3	2	0	3	6	1	1	0	0	0	0	0	1	1	0	2	4	5	5	2	2	0	3	3	3	1	6	4	6	3	2	0	2	1	0	0	0	0	0	2	1	0	2	0	1	1	1	7	14	15	10	4	9	12	11	1	1	0	0	0	0	0	2	2	1	0	0	2	2	2	0	2	2	2	11	8	4	2	2	1	0	1	4	11.203810480349	1.88988157484231	4.7622031559046	11.5516367669906	15.1314209485917	6.64449194422446	11.930789796909	14.5722465682922	0	2	6.64449194422446	11.7154519838396	10.9593246043387
296	Cefotaxime	0	0	0	1	0	0	2	3	2	1	4	1	0	3	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	2	3	4	4	6	4	6	3	3	1	0	0	1	2	0	0	2	1	1	0	2	0	1	1	1	6	2	5	5	3	5	4	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	4	0	0	1	0	1	0	1	0	8.85467493295556	1	2	5.65685424949238	11.6649102943897	6.59753955386447	6.6138052152402	10.7459141262214	0	1	4	4	6
297	Cefuroxime	0	0	0	0	0	1	3	3	2	0	3	3	1	1	1	0	0	0	0	1	1	0	0	1	2	2	1	0	0	0	3	4	4	6	4	6	3	3	2	0	0	0	1	2	1	0	1	1	0	2	0	1	1	1	5	3	7	5	2	5	3	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	1	1	1	9.00640025680409	1	2	5.65685424949238	11.6649102943897	6.59753955386447	6.6138052152402	10.9533584700698	0	1	4	4	6
298	Cefmetazole	0	0	0	0	0	0	2	2	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	5	4	1	4	5	6	9	6	0	0	0	0	0	0	0	0	1	1	0	1	1	2	3	0	4	7	5	9	5	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	4	0	0	1	0	1	0	1	0	4.92422400177354	0	1	2.82842712474619	12.1949629385702	0	6.26120069029542	8.80136675068247	0	0	0	2.82842712474619	4.7622031559046
299	Cefacetrile	0	0	0	0	0	0	1	2	1	0	2	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	3	2	2	6	2	4	3	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	7	2	4	5	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	4	0	0	1	1	1	1	0	0	5.65685424949238	0	1	4	9.65276610622686	0	5.74234749205346	8.7210365074784	0	0	0	4	6
300	Aztreonam	0	0	0	1	0	0	2	3	2	4	2	2	0	4	1	0	1	0	1	0	1	1	1	1	0	1	2	0	2	1	8	4	8	2	2	11	3	6	1	0	0	1	2	0	0	4	4	1	2	0	0	3	1	2	4	6	5	3	5	2	4	4	1	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	2	1	2	7.65424472120392	1	4	5.65685424949238	9.20658065168762	4.34115281760506	7.15908664099259	9.60576646174869	0	2	2.82842712474619	4.75682846001088	3.77976314968462
301	Ceftriaxone	0	0	0	1	0	0	2	3	2	1	4	0	0	4	1	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	5	9	4	4	4	9	7	6	1	0	0	1	2	0	0	2	2	3	0	1	0	3	3	3	5	3	7	9	5	5	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	11.2240800237043	1	4	6.72717132202972	14.5107483063177	8.48582603511376	9.95884005986143	11.4134148125909	0	2	4	4.45565973351251	4.7622031559046
302	Cephalexin	0	1	0	0	0	0	1	3	0	0	4	0	0	2	1	1	0	0	0	1	0	1	1	4	4	4	3	0	1	1	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	2	4	6	6	3	5	5	4	1	0	0	1	2	2	1	1	0	1	1	0	1	1	1	0	0	0	1	9	7	4	0	0	1	2	3	4	3.59611546662432	1	2	5.94810968475028	3.789291416276	2.87174588749259	4	10.417098384011	0	1	6.6138052152402	6.61380521524019	8.52555187828474
303	Carbenicillin	0	0	0	0	0	0	1	2	2	0	2	0	0	0	0	0	0	1	0	1	0	0	1	2	2	4	1	0	0	0	3	2	2	4	0	4	2	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	1	0	4	5	13	11	5	8	6	8	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	1	1	1	3	10	7	5	1	1	1	4	4	5	3.86431329785834	0	2	4.35275281648062	6.66831741919266	0	6.33582617301755	9.76769697593508	0	0	0	9.21319594279002	8.6683223421891
304	Ceftizoxime	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	2	3	5	1	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	6.51073099252255	1	2	4.7622031559046	9.24687625873865	4.75682846001088	5.74234749205346	8.33248162338902	0	1	3	3	3
305	Ceftriaxone	0	0	0	1	0	0	2	3	2	1	4	0	0	4	1	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	5	9	4	4	4	9	7	6	1	0	0	1	2	0	0	2	2	3	0	1	0	3	3	3	5	3	7	9	5	5	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	11.2240800237043	1	4	6.72717132202972	14.5107483063177	8.48582603511376	9.95884005986143	11.4134148125909	0	2	4	4.45565973351251	4.7622031559046
306	Moxalactam	0	0	0	0	1	0	2	3	2	0	2	4	0	3	0	0	0	1	0	1	1	0	3	3	3	4	0	1	0	0	7	5	4	7	8	17	8	5	0	0	0	0	0	0	0	0	2	1	1	2	2	6	3	0	9	9	13	16	6	10	8	5	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	1	2	8	5	4	0	0	0	1	1	3	9.39534532109251	0	4	6.0985175654302	13.2667081295288	0	8.77183508793372	12.9056250132926	0	0	0	7.49349659500198	7.58253327759746
307	Cephaloridine	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	2	2	0	0	0	2	2	2	1	6	1	0	2	1	0	0	1	2	1	0	0	1	1	1	0	2	0	0	1	0	6	3	5	6	2	10	8	2	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	2	2	0	9	3	1	2	2	2	4	1	2	3.77976314968462	1	1	5.66964472452693	5.5516075873073	3.789291416276	3.789291416276	9.65523215036919	0	1	5.34941802342378	5.66964472452693	12.6632276430891
308	Ceftizoxime	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	2	3	5	1	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	6.51073099252255	1	2	4.7622031559046	9.24687625873865	4.75682846001088	5.74234749205346	8.33248162338902	0	1	3	3	3
309	Ceftizoxime	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	2	3	5	1	3	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	6.51073099252255	1	2	4.7622031559046	9.24687625873865	4.75682846001088	5.74234749205346	8.33248162338902	0	1	3	3	3
310	Cephalexin	0	1	0	0	0	0	1	3	0	0	4	0	0	2	1	1	0	0	0	1	0	1	1	4	4	4	3	0	1	1	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	2	4	6	6	3	5	5	4	1	0	0	1	2	2	1	1	0	1	1	0	1	1	1	0	0	0	1	9	7	4	0	0	1	2	3	4	3.59611546662432	1	2	5.94810968475028	3.789291416276	2.87174588749259	4	10.417098384011	0	1	6.6138052152402	6.61380521524019	8.52555187828474
311	Cephalosporin C	0	0	0	0	0	0	1	2	0	0	2	3	0	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	0	0	4	2	1	6	2	4	3	1	0	2	0	0	1	0	0	2	2	1	0	2	0	2	1	0	4	5	7	7	3	3	2	3	1	1	0	0	1	1	0	0	0	0	1	0	2	1	2	0	0	1	1	5	2	0	0	1	1	2	1	1	4.58575641234582	1	2	3.789291416276	11.2816532747474	5.66964472452693	8.31989177611433	10.652694092727	0	2	5	6.59753955386447	6.59753955386447
312	Ampicillin	0	1	0	0	0	0	1	3	0	0	4	0	0	2	1	1	0	0	0	1	0	1	1	4	4	5	2	0	2	0	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	1	3	9	5	3	6	4	4	1	0	0	1	2	2	1	1	0	2	0	0	0	3	0	0	0	0	1	9	6	3	0	0	1	2	4	5	3.59611546662432	1	2	5.32888560805461	3.789291416276	2.87174588749259	4	9.76981016479366	0	1	5.66964472452693	4.58575641234582	7.65546966688158
313	Sulbenicillin	0	0	0	0	0	0	1	2	3	0	2	0	0	0	0	0	0	1	0	1	0	0	0	2	2	4	1	0	0	0	5	2	3	4	0	6	2	0	0	0	0	0	0	0	0	0	3	1	1	1	0	2	1	0	1	6	15	11	6	9	4	10	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	1	1	0	3	9	6	3	0	0	1	2	4	5	3.74674829750099	0	2	3.57165236692845	6.43747531029416	0	5.91938942435933	9.04993521044316	0	0	0	7.60765184738223	7.65546966688158
314	Cefotaxime	0	0	0	1	0	0	2	3	2	1	4	1	0	3	1	0	1	0	0	1	0	0	1	1	0	2	0	0	0	2	3	4	4	6	4	6	3	3	1	0	0	1	2	0	0	2	1	1	0	2	0	1	1	1	6	2	5	5	3	5	4	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	4	0	0	1	0	1	0	1	0	8.85467493295556	1	2	5.65685424949238	11.6649102943897	6.59753955386447	6.6138052152402	10.7459141262214	0	1	4	4	6
315	Cephalosporin C	0	0	0	0	0	0	1	2	0	0	2	3	0	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	0	0	4	2	1	6	2	4	3	1	0	2	0	0	1	0	0	2	2	1	0	2	0	2	1	0	4	5	7	7	3	3	2	3	1	1	0	0	1	1	0	0	0	0	1	0	2	1	2	0	0	1	1	5	2	0	0	1	1	2	1	1	4.58575641234582	1	2	3.789291416276	11.2816532747474	5.66964472452693	8.31989177611433	10.652694092727	0	2	5	6.59753955386447	6.59753955386447
316	Ceftriaxone	0	0	0	1	0	0	2	3	2	1	4	0	0	4	1	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	5	9	4	4	4	9	7	6	1	0	0	1	2	0	0	2	2	3	0	1	0	3	3	3	5	3	7	9	5	5	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	11.2240800237043	1	4	6.72717132202972	14.5107483063177	8.48582603511376	9.95884005986143	11.4134148125909	0	2	4	4.45565973351251	4.7622031559046
317	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
318	Carbenicillin	0	0	0	0	0	0	1	2	2	0	2	0	0	0	0	0	0	1	0	1	0	0	1	2	2	4	1	0	0	0	3	2	2	4	0	4	2	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	1	0	4	5	13	11	5	8	6	8	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	1	1	1	3	10	7	5	1	1	1	4	4	5	3.86431329785834	0	2	4.35275281648062	6.66831741919266	0	6.33582617301755	9.76769697593508	0	0	0	9.21319594279002	8.6683223421891
319	Cefazolin	0	0	0	0	0	0	1	3	1	2	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	5	3	1	6	3	5	9	3	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	1	6	4	4	6	4	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	5	0	0	3	0	2	0	1	0	6.33582617301755	0	1	5	13.0925716619879	0	7.57858283255199	13.7936323495155	0	0	0	3.789291416276	3.59611546662432
320	Aztreonam	0	0	0	1	0	0	2	3	2	4	2	2	0	4	1	0	1	0	1	0	1	1	1	1	0	1	2	0	2	1	8	4	8	2	2	11	3	6	1	0	0	1	2	0	0	4	4	1	2	0	0	3	1	2	4	6	5	3	5	2	4	4	1	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	2	1	2	7.65424472120392	1	4	5.65685424949238	9.20658065168762	4.34115281760506	7.15908664099259	9.60576646174869	0	2	2.82842712474619	4.75682846001088	3.77976314968462
321	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
322	Aztreonam	0	0	0	1	0	0	2	3	2	4	2	2	0	4	1	0	1	0	1	0	1	1	1	1	0	1	2	0	2	1	8	4	8	2	2	11	3	6	1	0	0	1	2	0	0	4	4	1	2	0	0	3	1	2	4	6	5	3	5	2	4	4	1	0	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	4	0	0	0	0	0	2	1	2	7.65424472120392	1	4	5.65685424949238	9.20658065168762	4.34115281760506	7.15908664099259	9.60576646174869	0	2	2.82842712474619	4.75682846001088	3.77976314968462
323	Nocardicin B	0	0	1	0	0	1	1	3	2	0	3	6	1	1	0	0	0	0	0	1	1	0	2	4	5	5	2	2	0	3	3	3	1	6	4	6	3	2	0	2	1	0	0	0	0	0	2	1	0	2	0	1	1	1	7	14	15	10	4	9	12	11	1	1	0	0	0	0	0	2	2	1	0	0	2	2	2	0	2	2	2	11	8	4	2	2	1	0	1	4	11.203810480349	1.88988157484231	4.7622031559046	11.5516367669906	15.1314209485917	6.64449194422446	11.930789796909	14.5722465682922	0	2	6.64449194422446	11.7154519838396	10.9593246043387
324	Cephaloglycin	0	1	0	0	0	0	1	3	0	0	4	1	0	3	1	1	0	0	0	1	0	1	1	4	4	4	2	0	1	1	3	2	1	6	2	2	3	1	0	1	0	0	2	0	0	2	1	1	0	2	0	1	1	0	5	3	6	5	5	7	5	4	1	0	0	1	2	2	1	1	0	1	0	0	1	0	1	0	1	0	1	9	6	3	1	0	2	2	3	3	5.88342684216636	1	2	6.61380521524019	7.54330099438951	4.71065067421325	4.7622031559046	12.9230737984751	0	1	6.6138052152402	6.61380521524019	11.4653218318112
325	Cephalexin	0	1	0	0	0	0	1	3	0	0	4	0	0	2	1	1	0	0	0	1	0	1	1	4	4	4	3	0	1	1	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	2	4	6	6	3	5	5	4	1	0	0	1	2	2	1	1	0	1	1	0	1	1	1	0	0	0	1	9	7	4	0	0	1	2	3	4	3.59611546662432	1	2	5.94810968475028	3.789291416276	2.87174588749259	4	10.417098384011	0	1	6.6138052152402	6.61380521524019	8.52555187828474
326	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
327	Cephalexin	0	1	0	0	0	0	1	3	0	0	4	0	0	2	1	1	0	0	0	1	0	1	1	4	4	4	3	0	1	1	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	2	4	6	6	3	5	5	4	1	0	0	1	2	2	1	1	0	1	1	0	1	1	1	0	0	0	1	9	7	4	0	0	1	2	3	4	3.59611546662432	1	2	5.94810968475028	3.789291416276	2.87174588749259	4	10.417098384011	0	1	6.6138052152402	6.61380521524019	8.52555187828474
328	Moxalactam	0	0	0	0	1	0	2	3	2	0	2	4	0	3	0	0	0	1	0	1	1	0	3	3	3	4	0	1	0	0	7	5	4	7	8	17	8	5	0	0	0	0	0	0	0	0	2	1	1	2	2	6	3	0	9	9	13	16	6	10	8	5	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	1	2	8	5	4	0	0	0	1	1	3	9.39534532109251	0	4	6.0985175654302	13.2667081295288	0	8.77183508793372	12.9056250132926	0	0	0	7.49349659500198	7.58253327759746
329	LY097964	0	0	0	1	0	0	2	3	2	1	4	0	0	2	1	0	1	0	0	1	0	0	1	1	0	2	1	0	0	1	2	4	3	4	2	4	2	2	1	0	0	1	2	0	0	2	1	1	0	1	0	0	1	1	3	3	5	6	1	3	4	3	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	0	1	0	6.51073099252255	1	2	6.72717132202972	9.24687625873865	4.75682846001088	5.74234749205346	9.08292727290128	0	1	4	4	6
330	Cephaloglycin	0	1	0	0	0	0	1	3	0	0	4	1	0	3	1	1	0	0	0	1	0	1	1	4	4	4	2	0	1	1	3	2	1	6	2	2	3	1	0	1	0	0	2	0	0	2	1	1	0	2	0	1	1	0	5	3	6	5	5	7	5	4	1	0	0	1	2	2	1	1	0	1	0	0	1	0	1	0	1	0	1	9	6	3	1	0	2	2	3	3	5.88342684216636	1	2	6.61380521524019	7.54330099438951	4.71065067421325	4.7622031559046	12.9230737984751	0	1	6.6138052152402	6.61380521524019	11.4653218318112
